spp,sp_code,shpcode,DIVISION,FAMILY,GENUS,SPECIES,Ha,Ma,Ka,Oa,Mo,La,Ke,Ni,Pioneer,Envelope gap,GAP_Habitat,Substrate,Forest,Shrubland,Grassland,Alien_hab_comp,CCE_Area,Common Name,Conservation Status,Status.simplified,Native Status,Coastal,spp_old,family_old,genus_old,species_old,Status.simplified_old,Test spp,TEs,temp
Nertera granadensis,187,Copgran,Dicot,Rubiaceae,Nertera,granadensis,109,124,110,110,90,0,0,0,0,0,0,0,1,1,1,0,1981.9683,Pilo,Apparently Secure,Apparently Secure,Indigenous,Non_coastal,Coprosma granadensis,Rubiaceae,Coprosma,granadensis,Apparently Secure,1,0,0
Coprosma kauensis,188,Copkaue,Dicot,Rubiaceae,Coprosma,kauensis,0,0,111,0,0,0,0,0,0,0,0,0,1,1,1,0,297.6255,K??,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Coprosma kauensis,Rubiaceae,Coprosma,kauensis,Apparently Secure,0,0,0
Coprosma longifolia,189,Coplong,Dicot,Rubiaceae,Coprosma,longifolia,0,0,0,111,0,0,0,0,0,0,0,0,1,1,1,0,241.4718,Pilo,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Coprosma longifolia,Rubiaceae,Coprosma,longifolia,Apparently Secure,0,0,0
Coprosma menziesii,190,Copmenz,Dicot,Rubiaceae,Coprosma,menziesii,110,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,5385.7179,Pilo,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Coprosma menziesii,Rubiaceae,Coprosma,menziesii,Apparently Secure,0,0,0
Coprosma montana,191,Copmont,Dicot,Rubiaceae,Coprosma,montana,111,125,0,0,0,0,0,0,1,0,0,0,1,1,1,0,3587.0913,Pilo,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Coprosma montana,Rubiaceae,Coprosma,montana,Apparently Secure,0,0,0
Coprosma ochracea,192,Copochr,Dicot,Rubiaceae,Coprosma,ochracea,112,126,0,112,91,81,0,0,1,0,0,0,1,1,1,1,4527.9756,Pilo,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Coprosma ochracea,Rubiaceae,Coprosma,ochracea,Apparently Secure,0,0,0
Coprosma pubens,193,Coppube,Dicot,Rubiaceae,Coprosma,pubens,113,127,0,0,92,82,0,0,0,0,0,0,1,1,1,0,4987.2312,Pilo,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Coprosma pubens,Rubiaceae,Coprosma,pubens,Apparently Secure,0,0,0
Coprosma rhynchocarpa,194,Coprhyn,Dicot,Rubiaceae,Coprosma,rhynchocarpa,114,128,0,0,0,0,0,0,0,0,0,0,1,1,1,0,5661.54,Pilo,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Coprosma rhynchocarpa,Rubiaceae,Coprosma,rhynchocarpa,Apparently Secure,0,0,0
Coprosma ternata,195,Coptern,Dicot,Rubiaceae,Coprosma,ternata,0,129,0,0,93,0,0,0,0,0,0,0,1,1,1,0,109.0071,Pilo,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Coprosma ternata,Rubiaceae,Coprosma,ternata,Apparently Secure,0,0,0
Coprosma waimeae,196,Copwaim,Dicot,Rubiaceae,Coprosma,waimeae,0,0,112,0,0,0,0,0,0,0,0,0,1,1,1,0,180.3285,‘?lena,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Coprosma waimeae,Rubiaceae,Coprosma,waimeae,Apparently Secure,0,0,0
Cressa truxillensis,197,Cretrux,Dicot,Convolvulaceae,Cressa,truxillensis,0,0,0,113,94,0,15,0,0,0,0,0,1,1,1,1,12.6873,None,Apparently Secure,Apparently Secure,Indigenous,Coastal,Cressa truxillensis,Convolvulaceae,Cressa,truxillensis,Apparently Secure,0,0,0
Cryptocarya mannii,198,Crymann,Dicot,Lauraceae,Cryptocarya,mannii,0,0,113,114,0,0,0,0,0,0,0,0,1,1,1,0,823.0257,H?lio,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Cryptocarya mannii,Lauraceae,Cryptocarya,mannii,Apparently Secure,0,0,0
Ctenitis latifrons,199,Ctelati,Pteridophyte,Dryopteridaceae,Ctenitis,latifrons,115,130,114,115,95,83,0,0,0,0,0,0,1,1,1,0,1884.7989,‘?k?lea,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Ctenitis latifrons,Dryopteridaceae,Ctenitis,latifrons,Apparently Secure,0,0,0
Ctenitis squamigera,200,Ctesqua,Pteridophyte,Dryopteridaceae,Ctenitis,squamigera,0,131,115,116,96,84,0,0,0,0,0,0,1,1,1,0,915.0102,Pauoa,Endangered,Endangered,Endemic,Non_coastal,Ctenitis squamigera,Dryopteridaceae,Ctenitis,squamigera,Endangered,0,1,0
Cuscuta sandwichiana,201,Cussand,Dicot,Convolvulaceae,Cuscuta,sandwichiana,116,132,116,117,97,85,0,23,0,0,0,0,1,1,1,1,2439.0171,Kauna‘oa,Apparently Secure,Apparently Secure,Endemic,Coastal,Cuscuta sandwichiana,Convolvulaceae,Cuscuta,sandwichiana,Apparently Secure,0,0,0
Cyanea aculeatiflora,202,Cyaacul,Dicot,Campanulaceae,Cyanea,aculeatiflora,0,133,0,0,0,0,0,0,0,0,0,0,1,1,1,0,143.4762,H?h?,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Cyanea aculeatiflora,Campanulaceae,Cyanea,aculeatiflora,Apparently Secure,0,0,0
Cyanea acuminata,203,Cyaacum,Dicot,Campanulaceae,Cyanea,acuminata,0,0,0,118,0,0,0,0,0,0,0,0,1,1,1,0,300.7197,H?h?,Rare,Rare,Endemic,Non_coastal,Cyanea acuminata,Campanulaceae,Cyanea,acuminata,Rare,0,0,0
Cyanea angustifolia,204,Cyaangu,Dicot,Campanulaceae,Cyanea,angustifolia,0,134,0,119,98,86,0,0,0,0,0,0,1,1,1,1,933.8814,H?h?,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Cyanea angustifolia,Campanulaceae,Cyanea,angustifolia,Apparently Secure,0,0,0
Cyanea arborea,205,Cyaarbo,Dicot,Campanulaceae,Cyanea,arborea,0,135,0,0,0,0,0,0,0,0,0,0,1,1,1,0,20.9664,H?h?,Extinct,Extinct,Endemic,Non_coastal,Cyanea arborea,Campanulaceae,Cyanea,arborea,Extinct,0,0,0
Cyanea asarifolia,206,Cyaasar,Dicot,Campanulaceae,Cyanea,asarifolia,0,0,117,0,0,0,0,0,0,0,0,0,1,1,1,0,176.382,H?h?,Endangered,Endangered,Endemic,Non_coastal,Cyanea asarifolia,Campanulaceae,Cyanea,asarifolia,Endangered,0,1,0
Cyanea asplenifolia,207,Cyaaspl,Dicot,Campanulaceae,Cyanea,asplenifolia,0,136,0,0,0,0,0,0,0,0,0,0,1,1,1,0,118.4463,H?h?,Endangered,Endangered,Endemic,Non_coastal,Cyanea asplenifolia,Campanulaceae,Cyanea,asplenifolia,Endangered,0,1,0
Cyanea calycina,208,Cyacaly,Dicot,Campanulaceae,Cyanea,calycina,0,0,0,120,0,0,0,0,0,0,0,0,1,1,1,0,320.6286,H?h?,Rare,Rare,Endemic,Non_coastal,Cyanea calycina,Campanulaceae,Cyanea,calycina,Rare,0,0,0
Cyanea comata,209,Cyacoma,Dicot,Campanulaceae,Cyanea,comata,0,137,0,0,0,0,0,0,0,0,0,0,1,1,1,0,51.8976,H?h?,Extinct,Extinct,Endemic,Non_coastal,Cyanea comata,Campanulaceae,Cyanea,comata,Extinct,0,0,0
Cyanea copelandii,210,Cyacope,Dicot,Campanulaceae,Cyanea,copelandii,117,138,0,0,0,0,0,0,0,0,0,0,1,1,1,0,408.78,H?h?,"Vulnerable, including extinct subspecies",Vulnerable,Endemic,Non_coastal,Cyanea copelandii,Campanulaceae,Cyanea,copelandii,Vulnerable,0,0,0
Cyanea coriacea,211,Cyacori,Dicot,Campanulaceae,Cyanea,coriacea,0,0,118,0,0,0,0,0,0,0,0,0,1,1,1,0,266.2785,H?h?,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Cyanea coriacea,Campanulaceae,Cyanea,coriacea,Apparently Secure,0,0,0
Cyanea crispa,212,Cyacris,Dicot,Campanulaceae,Cyanea,crispa,0,0,0,121,0,0,0,0,0,0,0,0,1,1,1,0,317.7315,H?h?,Endangered,Endangered,Endemic,Non_coastal,Cyanea crispa,Campanulaceae,Cyanea,crispa,Endangered,0,1,0
Cyanea dunbariae,213,Cyadunb,Dicot,Campanulaceae,Cyanea,dunbariae,0,0,0,0,99,0,0,0,0,0,0,0,1,1,1,0,39.1833,H?h?,Endangered,Endangered,Endemic,Non_coastal,Cyanea dunbariae,Campanulaceae,Cyanea,dunbariae,Endangered,0,1,0
Cyanea elliptica,214,Cyaelli,Dicot,Campanulaceae,Cyanea,elliptica,0,139,0,0,100,87,0,0,0,0,0,0,1,1,1,0,371.169,H?h?,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Cyanea elliptica,Campanulaceae,Cyanea,elliptica,Apparently Secure,0,0,0
Cyanea fauriei,215,Cyafaur,Dicot,Campanulaceae,Cyanea,fauriei,0,0,119,0,0,0,0,0,0,0,0,0,1,1,1,0,104.5116,H?h?,Rare,Rare,Endemic,Non_coastal,Cyanea fauriei,Campanulaceae,Cyanea,fauriei,Rare,0,0,0
Cyanea fissa,216,Cyafiss,Dicot,Campanulaceae,Cyanea,fissa,0,0,120,0,0,0,0,0,0,0,0,0,1,1,1,0,692.0046,H?h?,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Cyanea fissa,Campanulaceae,Cyanea,fissa,Apparently Secure,0,0,0
Cyanea floribunda,217,Cyaflor,Dicot,Campanulaceae,Cyanea,floribunda,118,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2105.8083,H?h?,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Cyanea floribunda,Campanulaceae,Cyanea,floribunda,Apparently Secure,0,0,0
Cyanea gibsonii,218,Cyagibs,Dicot,Campanulaceae,Cyanea,gibsonii,0,0,0,0,0,88,0,0,0,0,0,0,1,1,1,0,4.4163,H?h?,Endangered,Endangered,Endemic,Non_coastal,Cyanea gibsonii,Campanulaceae,Cyanea,gibsonii,Endangered,0,1,0
Cyanea giffardii,219,Cyagiff,Dicot,Campanulaceae,Cyanea,giffardii,119,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,39.5181,H?h?,Extinct,Extinct,Endemic,Non_coastal,Cyanea giffardii,Campanulaceae,Cyanea,giffardii,Extinct,0,0,0
Cyanea glabra,220,Cyaglab,Dicot,Campanulaceae,Cyanea,glabra,0,140,0,0,0,0,0,0,0,0,0,0,1,1,1,0,176.3001,H?h?,Endangered,Endangered,Endemic,Non_coastal,Cyanea glabra,Campanulaceae,Cyanea,glabra,Endangered,0,1,0
Cyanea grimesiana,221,Cyagrim,Dicot,Campanulaceae,Cyanea,grimesiana,0,0,0,122,101,0,0,0,0,0,0,0,1,1,1,0,341.8434,H?h?,Endangered,Endangered,Endemic,Non_coastal,Cyanea grimesiana,Campanulaceae,Cyanea,grimesiana,Endangered,0,1,0
Cyanea habenata,222,Cyahabe,Dicot,Campanulaceae,Cyanea,habenata,0,0,121,0,0,0,0,0,0,0,0,0,1,1,1,0,6.8679,H?h?,Endangered,Rare,Endemic,Non_coastal,Cyanea habenata,Campanulaceae,Cyanea,habenata,Endangered,0,1,0
Cyanea hamatiflora,223,Cyahama,Dicot,Campanulaceae,Cyanea,hamatiflora,120,141,0,0,0,0,0,0,0,0,0,0,1,1,1,0,636.9435,H?h?,Endangered,Endangered,Endemic,Non_coastal,Cyanea hamatiflora,Campanulaceae,Cyanea,hamatiflora,Endangered,0,1,0
Cyanea hardyi,224,Cyahard,Dicot,Campanulaceae,Cyanea,hardyi,0,0,122,0,0,0,0,0,0,0,0,0,1,1,1,0,209.0682,H?h?,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Cyanea hardyi,Campanulaceae,Cyanea,hardyi,Apparently Secure,0,0,0
Cyanea hirtella,225,Cyahirt,Dicot,Campanulaceae,Cyanea,hirtella,0,0,123,0,0,0,0,0,0,0,0,0,1,1,1,0,515.3931,H?h?,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Cyanea hirtella,Campanulaceae,Cyanea,hirtella,Apparently Secure,0,0,0
Cyanea horrida,226,Cyahorr,Dicot,Campanulaceae,Cyanea,horrida,0,142,0,0,0,0,0,0,0,0,0,0,1,1,1,0,276.7374,H?h? nui,Endangered,Endangered,Endemic,Non_coastal,Cyanea horrida,Campanulaceae,Cyanea,horrida,Endangered,0,1,0
Cyanea humboldtiana,227,Cyahumb,Dicot,Campanulaceae,Cyanea,humboldtiana,0,0,0,123,0,0,0,0,0,0,0,0,1,1,1,0,207.7506,H?h?,Endangered,Endangered,Endemic,Non_coastal,Cyanea humboldtiana,Campanulaceae,Cyanea,humboldtiana,Endangered,0,1,0
Cyanea kahiliensis,228,Cyakahi,Dicot,Campanulaceae,Cyanea,kahiliensis,0,0,124,0,0,0,0,0,0,0,0,0,1,1,1,0,109.1349,H?h?,Rare,Extinct,Endemic,Non_coastal,Cyanea kahiliensis,Campanulaceae,Cyanea,kahiliensis,Rare,0,0,0
Cyanea kolekoleensis,229,Cyakole,Dicot,Campanulaceae,Cyanea,kolekoleensis,0,0,125,0,0,0,0,0,0,0,0,0,1,1,1,0,23.5026,H?h?,Endangered,Endangered,Endemic,Non_coastal,Cyanea kolekoleensis,Campanulaceae,Cyanea,kolekoleensis,Endangered,0,1,0
Cyanea koolauensis,230,Cyakool,Dicot,Campanulaceae,Cyanea,koolauensis,0,0,0,124,0,0,0,0,0,0,0,0,1,1,1,0,94.131,H?h?,Endangered,Endangered,Endemic,Non_coastal,Cyanea koolauensis,Campanulaceae,Cyanea,koolauensis,Endangered,0,1,0
Cyanea kunthiana,231,Cyakunt,Dicot,Campanulaceae,Cyanea,kunthiana,0,143,0,0,0,0,0,0,0,0,0,0,1,1,1,0,136.7172,H?h?,Rare,Rare,Endemic,Non_coastal,Cyanea kunthiana,Campanulaceae,Cyanea,kunthiana,Rare,0,0,0
Cyanea lanceolata,232,Cyalanc,Dicot,Campanulaceae,Cyanea,lanceolata,0,0,0,125,0,0,0,0,0,0,0,0,1,1,1,0,198.9999,H?h?,Rare,Rare,Endemic,Non_coastal,Cyanea lanceolata,Campanulaceae,Cyanea,lanceolata,Rare,0,0,0
Cyanea leptostegia,233,Cyalept,Dicot,Campanulaceae,Cyanea,leptostegia,0,0,126,0,0,0,0,0,0,0,0,0,1,1,1,0,62.6004,H?h? lua,Vulnerable,Vulnerable,Endemic,Non_coastal,Cyanea leptostegia,Campanulaceae,Cyanea,leptostegia,Vulnerable,0,0,0
Cyanea lobata,234,Cyaloba,Dicot,Campanulaceae,Cyanea,lobata,0,144,0,0,0,89,0,0,0,0,0,0,1,1,1,0,109.8495,H?h?,Endangered,Endangered,Endemic,Non_coastal,Cyanea lobata,Campanulaceae,Cyanea,lobata,Endangered,0,1,0
Cyanea longiflora,235,Cyalong1,Dicot,Campanulaceae,Cyanea,longiflora,0,0,0,126,0,0,0,0,0,0,0,0,1,1,1,0,213.1938,H?h?,Endangered,Endangered,Endemic,Non_coastal,Cyanea longiflora,Campanulaceae,Cyanea,longiflora,Endangered,0,1,0
Cyanea longissima,236,Cyalong2,Dicot,Campanulaceae,Cyanea,longissima,0,145,0,0,0,0,0,0,0,0,0,0,1,1,1,0,173.6928,H?h?,Extinct,Extinct,Endemic,Non_coastal,Cyanea longissima,Campanulaceae,Cyanea,longissima,Extinct,0,0,0
Cyanea macrostegia,237,Cyamacr,Dicot,Campanulaceae,Cyanea,macrostegia,0,146,0,0,0,0,0,0,0,0,0,0,1,1,1,0,237.6486,H?h?,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Cyanea macrostegia,Campanulaceae,Cyanea,macrostegia,Apparently Secure,0,0,0
Cyanea mannii,238,Cyamann,Dicot,Campanulaceae,Cyanea,mannii,0,0,0,0,102,0,0,0,0,0,0,0,1,1,1,0,34.2846,H?h?,Endangered,Endangered,Endemic,Non_coastal,Cyanea mannii,Campanulaceae,Cyanea,mannii,Endangered,0,1,0
Cyanea marksii,239,Cyamark,Dicot,Campanulaceae,Cyanea,marksii,121,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,259.6464,H?h?,Endangered,Endangered,Endemic,Non_coastal,Cyanea marksii,Campanulaceae,Cyanea,marksii,Endangered,0,1,0
Cyanea mceldowneyi,240,Cyamcel,Dicot,Campanulaceae,Cyanea,mceldowneyi,0,147,0,0,0,0,0,0,0,0,0,0,1,1,1,0,75.2409,H?h?,Endangered,Endangered,Endemic,Non_coastal,Cyanea mceldowneyi,Campanulaceae,Cyanea,mceldowneyi,Endangered,0,1,0
Cyanea membranacea,241,Cyamemb,Dicot,Campanulaceae,Cyanea,membranacea,0,0,0,127,0,0,0,0,0,0,0,0,1,1,1,0,71.5329,H?h?,Rare,Rare,Endemic,Non_coastal,Cyanea membranacea,Campanulaceae,Cyanea,membranacea,Rare,0,0,0
Cyanea munroi,242,Cyamunr,Dicot,Campanulaceae,Cyanea,munroi,0,0,0,0,103,90,0,0,0,0,0,0,1,1,1,0,5.7096,H?h?,Endangered,Endangered,Endemic,Non_coastal,Cyanea munroi,Campanulaceae,Cyanea,munroi,Endangered,0,1,0
Cyanea obtusa,243,Cyaobtu,Dicot,Campanulaceae,Cyanea,obtusa,0,148,0,0,0,0,0,0,0,0,0,0,1,1,1,0,200.2095,H?h?,Endangered,Endangered,Endemic,Non_coastal,Cyanea obtusa,Campanulaceae,Cyanea,obtusa,Endangered,0,1,0
Cyanea pilosa,244,Cyapilo,Dicot,Campanulaceae,Cyanea,pilosa,122,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1327.5567,H?h?,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Cyanea pilosa,Campanulaceae,Cyanea,pilosa,Apparently Secure,0,0,0
Cyanea pinnatifida,245,Cyapinn,Dicot,Campanulaceae,Cyanea,pinnatifida,0,0,0,128,0,0,0,0,0,0,0,0,1,1,1,0,6.9408,H?h?,Endangered,Endangered,Endemic,Non_coastal,Cyanea pinnatifida,Campanulaceae,Cyanea,pinnatifida,Endangered,0,1,0
Cyanea platyphylla,246,Cyaplat,Dicot,Campanulaceae,Cyanea,platyphylla,123,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1501.4196,‘Ak?‘ak?,Endangered,Endangered,Endemic,Non_coastal,Cyanea platyphylla,Campanulaceae,Cyanea,platyphylla,Endangered,0,1,0
Cyanea procera,247,Cyaproc,Dicot,Campanulaceae,Cyanea,procera,0,0,0,0,104,0,0,0,0,0,0,0,1,1,1,0,70.6077,H?h?,Endangered,Endangered,Endemic,Non_coastal,Cyanea procera,Campanulaceae,Cyanea,procera,Endangered,0,1,0
Cyanea purpurellifolia,248,Cyapurp,Dicot,Campanulaceae,Cyanea,purpurellifolia,0,0,0,129,0,0,0,0,0,0,0,0,1,1,1,0,98.7687,H?h?,Endangered,Endangered,Endemic,Non_coastal,Cyanea purpurellifolia,Campanulaceae,Cyanea,purpurellifolia,Endangered,0,1,0
Cyanea quercifolia,249,Cyaquer,Dicot,Campanulaceae,Cyanea,quercifolia,0,149,0,0,0,0,0,0,0,0,0,0,1,1,1,0,51.8976,H?h?,Extinct,Extinct,Endemic,Non_coastal,Cyanea quercifolia,Campanulaceae,Cyanea,quercifolia,Extinct,0,0,0
Cyanea recta,250,Cyarect,Dicot,Campanulaceae,Cyanea,recta,0,0,127,0,0,0,0,0,0,0,0,0,1,1,1,0,251.8353,H?h?,Vulnerable,Vulnerable,Endemic,Non_coastal,Cyanea recta,Campanulaceae,Cyanea,recta,Vulnerable,0,0,0
Cyanea remyi,251,Cyaremy,Dicot,Campanulaceae,Cyanea,remyi,0,0,128,0,0,0,0,0,0,0,0,0,1,1,1,0,183.762,H?h?,Endangered,Endangered,Endemic,Non_coastal,Cyanea remyi,Campanulaceae,Cyanea,remyi,Endangered,0,1,0
Cyanea rivularis,252,Cyarivu,Dicot,Campanulaceae,Cyanea,rivularis,0,0,129,0,0,0,0,0,0,0,0,0,1,1,1,0,151.9344,H?h?,Endangered,Endangered,Endemic,Non_coastal,Cyanea rivularis,Campanulaceae,Cyanea,rivularis,Endangered,0,1,0
Cyanea scabra,253,Cyascab,Dicot,Campanulaceae,Cyanea,scabra,0,150,0,0,0,0,0,0,0,0,0,0,1,1,1,0,86.7141,H?h?,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Cyanea scabra,Campanulaceae,Cyanea,scabra,Apparently Secure,0,0,0
Cyanea sessilifolia,254,Cyasess,Dicot,Campanulaceae,Cyanea,sessilifolia,0,0,0,130,0,0,0,0,0,0,0,0,1,1,1,0,138.249,H?h?,Endangered,Endangered,Endemic,Non_coastal,Cyanea sessilifolia,Campanulaceae,Cyanea,sessilifolia,Endangered,0,1,0
Cyanea shipmanii,255,Cyaship,Dicot,Campanulaceae,Cyanea,shipmanii,124,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,167.7672,H?h?,Endangered,Endangered,Endemic,Non_coastal,Cyanea shipmanii,Campanulaceae,Cyanea,shipmanii,Endangered,0,1,0
Cyanea solanacea,256,Cyasola,Dicot,Campanulaceae,Cyanea,solanacea,0,0,0,0,105,0,0,0,0,0,0,0,1,1,1,0,46.3059,H?h? nui,Endangered,Endangered,Endemic,Non_coastal,Cyanea solanacea,Campanulaceae,Cyanea,solanacea,Endangered,0,1,0
Cyanea solenocalyx,257,Cyasole,Dicot,Campanulaceae,Cyanea,solenocalyx,0,0,0,0,106,0,0,0,0,0,0,0,1,1,1,0,109.3257,Pua kala,Rare,Rare,Endemic,Non_coastal,Cyanea solenocalyx,Campanulaceae,Cyanea,solenocalyx,Rare,0,0,0
Cyanea spathulata,258,Cyaspat,Dicot,Campanulaceae,Cyanea,spathulata,0,0,130,0,0,0,0,0,0,0,0,0,1,1,1,0,199.7235,H?h?,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Cyanea spathulata,Campanulaceae,Cyanea,spathulata,Apparently Secure,0,0,0
Cyanea st.-johnii,259,Cyast.-,Dicot,Campanulaceae,Cyanea,st.-johnii,0,0,0,131,0,0,0,0,0,0,0,0,1,1,1,0,18.729,H?h?,Endangered,Endangered,Endemic,Non_coastal,Cyanea st.-johnii,Campanulaceae,Cyanea,st.-johnii,Endangered,0,1,0
Cyanea stictophylla,260,Cyastic,Dicot,Campanulaceae,Cyanea,stictophylla,125,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1129.1787,H?h?,Endangered,Endangered,Endemic,Non_coastal,Cyanea stictophylla,Campanulaceae,Cyanea,stictophylla,Endangered,0,1,0
Cyanea superba,261,Cyasupe,Dicot,Campanulaceae,Cyanea,superba,0,0,0,132,0,0,0,0,0,0,0,0,1,1,1,0,24.0615,H?h?,"Endangered, including extinct subspecies",Endangered,Endemic,Non_coastal,Cyanea superba,Campanulaceae,Cyanea,superba,Endangered,0,1,0
Cyanea sylvestris,262,Cyasylv,Dicot,Campanulaceae,Cyanea,sylvestris,0,0,131,0,0,0,0,0,0,0,0,0,1,1,1,0,547.7517,H?h?,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Cyanea sylvestris,Campanulaceae,Cyanea,sylvestris,Apparently Secure,0,0,0
Cyanea tritomantha,263,Cyatrit,Dicot,Campanulaceae,Cyanea,tritomantha,126,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1486.2114,‘Ak?,Vulnerable,Vulnerable,Endemic,Non_coastal,Cyanea tritomantha,Campanulaceae,Cyanea,tritomantha,Vulnerable,1,0,0
Cyanea truncata,264,Cyatrun,Dicot,Campanulaceae,Cyanea,truncata,0,0,0,133,0,0,0,0,0,0,0,0,1,1,1,0,254.8791,H?h?,Extinct,Extinct,Endemic,Non_coastal,Cyanea truncata,Campanulaceae,Cyanea,truncata,Extinct,0,0,0
Cyanea undulata,265,Cyaundu,Dicot,Campanulaceae,Cyanea,undulata,0,0,132,0,0,0,0,0,0,0,0,0,1,1,1,0,1.4202,H?h?,Endangered,Endangered,Endemic,Non_coastal,Cyanea undulata,Campanulaceae,Cyanea,undulata,Endangered,0,1,0
Cyclosorus interruptus,266,Cycinte,Pteridophyte,Thelypteridaceae,Cyclosorus,interruptus,127,151,133,134,107,91,0,0,0,0,0,0,1,1,1,1,4596.9696,Neke,Apparently Secure,Apparently Secure,Indigenous,Non_coastal,Cyclosorus interruptus,Thelypteridaceae,Cyclosorus,interruptus,Apparently Secure,0,0,0
Cyperus cyperinus,267,Cypcype,Monocot,Cyperaceae,Cyperus,cyperinus,0,152,134,135,108,0,0,0,0,0,0,0,1,1,1,0,593.6463,None,Apparently Secure,Apparently Secure,Indigenous,Non_coastal,Cyperus cyperinus,Cyperaceae,Cyperus,cyperinus,Apparently Secure,0,0,0
Cyperus fauriei,268,Cypfaur,Monocot,Cyperaceae,Cyperus,fauriei,128,0,0,0,109,92,0,0,0,0,0,0,1,1,1,0,1981.8459,None,Rare,Rare,Endemic,Non_coastal,Cyperus fauriei,Cyperaceae,Cyperus,fauriei,Rare,0,0,0
Cyperus hillebrandii,269,Cyphill,Monocot,Cyperaceae,Cyperus,hillebrandii,129,153,135,136,0,93,0,0,0,0,0,0,1,1,1,0,6907.194,None,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Cyperus hillebrandii,Cyperaceae,Cyperus,hillebrandii,Apparently Secure,0,0,0
Cyperus hypochlorus,270,Cyphypo,Monocot,Cyperaceae,Cyperus,hypochlorus,130,154,136,137,110,0,0,0,0,0,0,0,1,1,1,0,3537.9792,‘Ahu‘awa,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Cyperus hypochlorus,Cyperaceae,Cyperus,hypochlorus,Apparently Secure,0,0,0
Cyperus javanicus,271,Cypjava,Monocot,Cyperaceae,Cyperus,javanicus,131,155,137,138,111,94,0,24,0,0,0,0,1,1,1,1,3261.5919,‘Ahu‘awa,Apparently Secure,Apparently Secure,Indigenous,Non_coastal,Cyperus javanicus,Cyperaceae,Cyperus,javanicus,Apparently Secure,0,0,0
Cyperus laevigatus,272,Cyplaev,Monocot,Cyperaceae,Cyperus,laevigatus,132,156,0,139,112,0,0,25,0,0,0,0,1,1,1,1,152.8173,Makaloa,Apparently Secure,Apparently Secure,Indigenous,Coastal,Cyperus laevigatus,Cyperaceae,Cyperus,laevigatus,Apparently Secure,0,0,0
Cyperus odoratus,273,Cypodor,Monocot,Cyperaceae,Cyperus,odoratus,133,157,138,140,113,0,0,0,0,0,0,0,1,1,1,0,903.105,Pu‘uka‘a,Rare,Rare,Endemic,Coastal,Cyperus odoratus,Cyperaceae,Cyperus,odoratus,Rare,0,0,0
Cyperus pennatiformis,274,Cyppenn,Monocot,Cyperaceae,Cyperus,pennatiformis,0,158,139,141,0,0,0,0,0,0,0,0,1,1,1,1,1239.6465,None,"Endangered, including extinct variety",Endangered,Endemic,Non_coastal,Cyperus pennatiformis,Cyperaceae,Cyperus,pennatiformis,Endangered,0,1,0
Cyperus phleoides,275,Cypphle,Monocot,Cyperaceae,Cyperus,phleoides,134,159,140,142,114,95,16,26,0,0,0,0,1,1,1,0,5674.977,None,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Cyperus phleoides,Cyperaceae,Cyperus,phleoides,Apparently Secure,0,0,0
Cyperus polystachyos,276,Cyppoly,Monocot,Cyperaceae,Cyperus,polystachyos,135,160,141,143,115,96,0,27,1,0,0,0,1,1,1,1,8266.311,None,Apparently Secure,Apparently Secure,Indigenous,Non_coastal,Cyperus polystachyos,Cyperaceae,Cyperus,polystachyos,Apparently Secure,0,0,0
