spp,sp_code,shpcode,DIVISION,FAMILY,GENUS,SPECIES,Ha,Ma,Ka,Oa,Mo,La,Ke,Ni,Pioneer,Envelope gap,GAP_Habitat,Substrate,Forest,Shrubland,Grassland,Alien_hab_comp,CCE_Area,Common Name,Conservation Status,Status.simplified,Native Status,Coastal,spp_old,family_old,genus_old,species_old,Status.simplified_old,Test spp,TEs,temp
Adiantum capillus-veneris,20,Adicapi,Pteridophyte,Pteridaceae,Adiantum,capillus-veneris,11,14,15,15,11,14,0,2,0,0,0,0,1,1,1,0,2791.7766,‘Iwa‘iwa,Apparently Secure,Apparently Secure,Indigenous,Non_coastal,Adiantum capillus-veneris,Pteridaceae,Adiantum,capillus-veneris,Apparently Secure,0,0,0
Agrostis avenacea,21,Agraven,Monocot,Poaceae,Agrostis,avenacea,12,15,16,16,12,15,2,0,0,0,0,0,1,1,1,0,12587.391,He‘upueo,Apparently Secure,Apparently Secure,Indigenous,Non_coastal,Agrostis avenacea,Poaceae,Agrostis,avenacea,Apparently Secure,0,0,0
Agrostis sandwicensis,22,Agrsand,Monocot,Poaceae,Agrostis,sandwicensis,13,16,17,17,0,0,0,0,0,0,0,0,1,1,1,0,7910.3943,None,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Agrostis sandwicensis,Poaceae,Agrostis,sandwicensis,Apparently Secure,0,0,0
Alectryon macrococcus,23,Alemacr,Dicot,Sapindaceae,Alectryon,macrococcus,0,17,18,18,13,0,0,0,0,0,0,0,1,1,1,0,620.4825,M?hoe,Endangered,Endangered,Endemic,Non_coastal,Alectryon macrococcus,Sapindaceae,Alectryon,macrococcus,Endangered,0,1,0
Alphitonia ponderosa,24,Alppond,Dicot,Rhamnaceae,Alphitonia,ponderosa,14,18,19,19,14,16,0,0,0,0,0,0,1,1,1,0,3303.378,Kauila,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Alphitonia ponderosa,Rhamnaceae,Alphitonia,ponderosa,Apparently Secure,0,0,0
Alyxia stellata,25,Alyoliv,Dicot,Apocynaceae,Alyxia,stellata,15,19,20,20,15,17,3,3,0,0,0,0,1,1,1,0,12067.1442,Maile,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Alyxia oliviformis,Apocynaceae,Alyxia,oliviformis,Apparently Secure,0,0,0
Thelypteris globulifera,26,Amaglob,Pteridophyte,Thelypteridaceae,Thelypteris,globulifera,16,20,21,21,16,18,0,0,0,0,0,0,1,1,1,0,5640.4557,Palapalai o Kamapua‘a,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Thelypteris globulifera,Thelypteridaceae,Thelypteris,globulifera,Apparently Secure,0,0,0
Anoectochilus sandvicensis,27,Anosand,Monocot,Orchidaceae,Anoectochilus,sandvicensis,17,21,22,22,17,19,0,0,0,0,0,0,1,1,1,0,2933.9856,None,Rare,Rare,Endemic,Non_coastal,Anoectochilus sandvicensis,Orchidaceae,Anoectochilus,sandvicensis,Rare,0,0,0
Antidesma platyphyllum,28,Antplat,Dicot,Phyllanthaceae,Antidesma,platyphyllum,18,22,23,23,18,20,0,0,0,0,0,0,1,1,1,0,7386.264,Hamehame,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Antidesma platyphyllum,Phyllanthaceae,Antidesma,platyphyllum,Apparently Secure,1,0,0
Antidesma pulvinatum,29,Antpulv,Dicot,Phyllanthaceae,Antidesma,pulvinatum,19,23,0,24,19,0,0,0,0,0,0,0,1,1,1,0,3372.6465,Hamehame,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Antidesma pulvinatum,Phyllanthaceae,Antidesma,pulvinatum,Apparently Secure,0,0,0
Arachniodes insularis,30,Arainsu,Pteridophyte,Dryopteridaceae,Arachniodes,insularis,20,24,24,25,20,0,0,0,0,0,0,0,1,1,1,0,2437.6176,None,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Arachniodes insularis,Dryopteridaceae,Arachniodes,insularis,Apparently Secure,0,0,0
Argemone glauca,31,Argglau,Dicot,Papaveraceae,Argemone,glauca,21,25,25,26,21,21,4,4,1,0,0,0,1,1,1,1,9206.6247,Pua kala,Apparently Secure,Apparently Secure,Endemic,Non_coastal,Argemone glauca,Papaveraceae,Argemone,glauca,Apparently Secure,0,0,0
