"","","","","","","pSum",""
"1",1e-04,1e-04,0.222222222222222,1e-04,1e-04,0.222222222222222,0.777777777777778
"2",1e-04,1e-04,0.222222222222222,1e-04,0.111111111111111,0.333333333333333,0.666666666666667
"3",1e-04,1e-04,0.222222222222222,1e-04,0.222222222222222,0.444444444444444,0.555555555555556
"4",1e-04,1e-04,0.222222222222222,1e-04,1e-04,0.222222222222222,0.777777777777778
"5",1e-04,1e-04,0.222222222222222,1e-04,0.111111111111111,0.333333333333333,0.666666666666667
"6",1e-04,1e-04,0.222222222222222,1e-04,0.222222222222222,0.444444444444444,0.555555555555556
"7",1e-04,1e-04,0.222222222222222,1e-04,1e-04,0.222222222222222,0.777777777777778
"8",1e-04,1e-04,0.222222222222222,1e-04,0.111111111111111,0.333333333333333,0.666666666666667
"9",1e-04,1e-04,0.222222222222222,1e-04,0.222222222222222,0.444444444444444,0.555555555555556
"10",1e-04,1e-04,0.111111111111111,1e-04,1e-04,0.111111111111111,0.888888888888889
"11",1e-04,1e-04,0.111111111111111,1e-04,0.111111111111111,0.222222222222222,0.777777777777778
"12",1e-04,1e-04,0.111111111111111,1e-04,0.222222222222222,0.333333333333333,0.666666666666667
"13",1e-04,1e-04,0.111111111111111,1e-04,1e-04,0.111111111111111,0.888888888888889
"14",1e-04,1e-04,0.111111111111111,1e-04,0.111111111111111,0.222222222222222,0.777777777777778
"15",1e-04,1e-04,0.111111111111111,1e-04,0.222222222222222,0.333333333333333,0.666666666666667
"16",1e-04,1e-04,0.111111111111111,1e-04,1e-04,0.111111111111111,0.888888888888889
"17",1e-04,1e-04,0.111111111111111,1e-04,0.111111111111111,0.222222222222222,0.777777777777778
"18",1e-04,1e-04,0.111111111111111,1e-04,0.222222222222222,0.333333333333333,0.666666666666667
"19",1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.9999
"20",1e-04,1e-04,1e-04,1e-04,0.111111111111111,0.111111111111111,0.888888888888889
"21",1e-04,1e-04,1e-04,1e-04,0.222222222222222,0.222222222222222,0.777777777777778
"22",1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.9999
"23",1e-04,1e-04,1e-04,1e-04,0.111111111111111,0.111111111111111,0.888888888888889
"24",1e-04,1e-04,1e-04,1e-04,0.222222222222222,0.222222222222222,0.777777777777778
"25",1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.9999
"26",1e-04,1e-04,1e-04,1e-04,0.111111111111111,0.111111111111111,0.888888888888889
"27",1e-04,1e-04,1e-04,1e-04,0.222222222222222,0.222222222222222,0.777777777777778
"28",1e-04,0.333333333333333,0.222222222222222,1e-04,1e-04,0.555555555555556,0.444444444444444
"29",1e-04,0.333333333333333,0.222222222222222,1e-04,0.111111111111111,0.666666666666667,0.333333333333333
"30",1e-04,0.333333333333333,0.222222222222222,1e-04,0.222222222222222,0.777777777777778,0.222222222222222
"31",1e-04,0.333333333333333,0.222222222222222,1e-04,1e-04,0.555555555555556,0.444444444444444
"32",1e-04,0.333333333333333,0.222222222222222,1e-04,0.111111111111111,0.666666666666667,0.333333333333333
"33",1e-04,0.333333333333333,0.222222222222222,1e-04,0.222222222222222,0.777777777777778,0.222222222222222
"34",1e-04,0.333333333333333,0.222222222222222,1e-04,1e-04,0.555555555555556,0.444444444444444
"35",1e-04,0.333333333333333,0.222222222222222,1e-04,0.111111111111111,0.666666666666667,0.333333333333333
"36",1e-04,0.333333333333333,0.222222222222222,1e-04,0.222222222222222,0.777777777777778,0.222222222222222
"37",1e-04,0.333333333333333,0.111111111111111,1e-04,1e-04,0.444444444444444,0.555555555555556
"38",1e-04,0.333333333333333,0.111111111111111,1e-04,0.111111111111111,0.555555555555556,0.444444444444444
"39",1e-04,0.333333333333333,0.111111111111111,1e-04,0.222222222222222,0.666666666666667,0.333333333333333
"40",1e-04,0.333333333333333,0.111111111111111,1e-04,1e-04,0.444444444444444,0.555555555555556
"41",1e-04,0.333333333333333,0.111111111111111,1e-04,0.111111111111111,0.555555555555556,0.444444444444444
