"","","","","","","","pSum",""
"1",1e-04,1e-04,0.181818181818182,1e-04,0.181818181818182,0.181818181818182,0.545454545454545,0.454545454545455
"2",1e-04,1e-04,0.181818181818182,1e-04,0.181818181818182,0.0909090909090909,0.454545454545455,0.545454545454545
"3",1e-04,1e-04,0.181818181818182,1e-04,0.181818181818182,1e-04,0.363636363636364,0.636363636363636
"4",1e-04,1e-04,0.181818181818182,1e-04,0.0909090909090909,0.181818181818182,0.454545454545455,0.545454545454545
"5",1e-04,1e-04,0.181818181818182,1e-04,0.0909090909090909,0.0909090909090909,0.363636363636364,0.636363636363636
"6",1e-04,1e-04,0.181818181818182,1e-04,0.0909090909090909,1e-04,0.272727272727273,0.727272727272727
"7",1e-04,1e-04,0.181818181818182,1e-04,1e-04,0.181818181818182,0.363636363636364,0.636363636363636
"8",1e-04,1e-04,0.181818181818182,1e-04,1e-04,0.0909090909090909,0.272727272727273,0.727272727272727
"9",1e-04,1e-04,0.181818181818182,1e-04,1e-04,1e-04,0.181818181818182,0.818181818181818
"10",1e-04,1e-04,0.181818181818182,1e-04,0.181818181818182,0.181818181818182,0.545454545454545,0.454545454545455
"11",1e-04,1e-04,0.181818181818182,1e-04,0.181818181818182,0.0909090909090909,0.454545454545455,0.545454545454545
"12",1e-04,1e-04,0.181818181818182,1e-04,0.181818181818182,1e-04,0.363636363636364,0.636363636363636
"13",1e-04,1e-04,0.181818181818182,1e-04,0.0909090909090909,0.181818181818182,0.454545454545455,0.545454545454545
"14",1e-04,1e-04,0.181818181818182,1e-04,0.0909090909090909,0.0909090909090909,0.363636363636364,0.636363636363636
"15",1e-04,1e-04,0.181818181818182,1e-04,0.0909090909090909,1e-04,0.272727272727273,0.727272727272727
"16",1e-04,1e-04,0.181818181818182,1e-04,1e-04,0.181818181818182,0.363636363636364,0.636363636363636
"17",1e-04,1e-04,0.181818181818182,1e-04,1e-04,0.0909090909090909,0.272727272727273,0.727272727272727
"18",1e-04,1e-04,0.181818181818182,1e-04,1e-04,1e-04,0.181818181818182,0.818181818181818
"19",1e-04,1e-04,0.181818181818182,1e-04,0.181818181818182,0.181818181818182,0.545454545454545,0.454545454545455
"20",1e-04,1e-04,0.181818181818182,1e-04,0.181818181818182,0.0909090909090909,0.454545454545455,0.545454545454545
"21",1e-04,1e-04,0.181818181818182,1e-04,0.181818181818182,1e-04,0.363636363636364,0.636363636363636
"22",1e-04,1e-04,0.181818181818182,1e-04,0.0909090909090909,0.181818181818182,0.454545454545455,0.545454545454545
"23",1e-04,1e-04,0.181818181818182,1e-04,0.0909090909090909,0.0909090909090909,0.363636363636364,0.636363636363636
"24",1e-04,1e-04,0.181818181818182,1e-04,0.0909090909090909,1e-04,0.272727272727273,0.727272727272727
"25",1e-04,1e-04,0.181818181818182,1e-04,1e-04,0.181818181818182,0.363636363636364,0.636363636363636
"26",1e-04,1e-04,0.181818181818182,1e-04,1e-04,0.0909090909090909,0.272727272727273,0.727272727272727
"27",1e-04,1e-04,0.181818181818182,1e-04,1e-04,1e-04,0.181818181818182,0.818181818181818
"28",1e-04,1e-04,0.0909090909090909,1e-04,0.181818181818182,0.181818181818182,0.454545454545455,0.545454545454545
"29",1e-04,1e-04,0.0909090909090909,1e-04,0.181818181818182,0.0909090909090909,0.363636363636364,0.636363636363636
"30",1e-04,1e-04,0.0909090909090909,1e-04,0.181818181818182,1e-04,0.272727272727273,0.727272727272727
"31",1e-04,1e-04,0.0909090909090909,1e-04,0.0909090909090909,0.181818181818182,0.363636363636364,0.636363636363636
"32",1e-04,1e-04,0.0909090909090909,1e-04,0.0909090909090909,0.0909090909090909,0.272727272727273,0.727272727272727
"33",1e-04,1e-04,0.0909090909090909,1e-04,0.0909090909090909,1e-04,0.181818181818182,0.818181818181818
"34",1e-04,1e-04,0.0909090909090909,1e-04,1e-04,0.181818181818182,0.272727272727273,0.727272727272727
"35",1e-04,1e-04,0.0909090909090909,1e-04,1e-04,0.0909090909090909,0.181818181818182,0.818181818181818
"36",1e-04,1e-04,0.0909090909090909,1e-04,1e-04,1e-04,0.0909090909090909,0.909090909090909
"37",1e-04,1e-04,0.0909090909090909,1e-04,0.181818181818182,0.181818181818182,0.454545454545455,0.545454545454545
"38",1e-04,1e-04,0.0909090909090909,1e-04,0.181818181818182,0.0909090909090909,0.363636363636364,0.636363636363636
"39",1e-04,1e-04,0.0909090909090909,1e-04,0.181818181818182,1e-04,0.272727272727273,0.727272727272727
"40",1e-04,1e-04,0.0909090909090909,1e-04,0.0909090909090909,0.181818181818182,0.363636363636364,0.636363636363636
