"","","","","","","pSum",""
"1",1e-04,1e-04,1e-04,0.222222222222222,1e-04,0.222222222222222,0.777777777777778
"2",1e-04,1e-04,1e-04,0.222222222222222,1e-04,0.222222222222222,0.777777777777778
"3",1e-04,1e-04,1e-04,0.222222222222222,1e-04,0.222222222222222,0.777777777777778
"4",1e-04,1e-04,1e-04,0.111111111111111,1e-04,0.111111111111111,0.888888888888889
"5",1e-04,1e-04,1e-04,0.111111111111111,1e-04,0.111111111111111,0.888888888888889
"6",1e-04,1e-04,1e-04,0.111111111111111,1e-04,0.111111111111111,0.888888888888889
"7",1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.9999
"8",1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.9999
"9",1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.9999
"10",1e-04,1e-04,0.333333333333333,0.222222222222222,1e-04,0.555555555555556,0.444444444444444
"11",1e-04,1e-04,0.333333333333333,0.222222222222222,1e-04,0.555555555555556,0.444444444444444
"12",1e-04,1e-04,0.333333333333333,0.222222222222222,1e-04,0.555555555555556,0.444444444444444
"13",1e-04,1e-04,0.333333333333333,0.111111111111111,1e-04,0.444444444444444,0.555555555555556
"14",1e-04,1e-04,0.333333333333333,0.111111111111111,1e-04,0.444444444444444,0.555555555555556
"15",1e-04,1e-04,0.333333333333333,0.111111111111111,1e-04,0.444444444444444,0.555555555555556
"16",1e-04,1e-04,0.333333333333333,1e-04,1e-04,0.333333333333333,0.666666666666667
"17",1e-04,1e-04,0.333333333333333,1e-04,1e-04,0.333333333333333,0.666666666666667
"18",1e-04,1e-04,0.333333333333333,1e-04,1e-04,0.333333333333333,0.666666666666667
"19",1e-04,0.111111111111111,1e-04,0.222222222222222,1e-04,0.333333333333333,0.666666666666667
"20",1e-04,0.111111111111111,1e-04,0.222222222222222,1e-04,0.333333333333333,0.666666666666667
"21",1e-04,0.111111111111111,1e-04,0.222222222222222,1e-04,0.333333333333333,0.666666666666667
"22",1e-04,0.111111111111111,1e-04,0.111111111111111,1e-04,0.222222222222222,0.777777777777778
"23",1e-04,0.111111111111111,1e-04,0.111111111111111,1e-04,0.222222222222222,0.777777777777778
"24",1e-04,0.111111111111111,1e-04,0.111111111111111,1e-04,0.222222222222222,0.777777777777778
"25",1e-04,0.111111111111111,1e-04,1e-04,1e-04,0.111111111111111,0.888888888888889
"26",1e-04,0.111111111111111,1e-04,1e-04,1e-04,0.111111111111111,0.888888888888889
"27",1e-04,0.111111111111111,1e-04,1e-04,1e-04,0.111111111111111,0.888888888888889
"28",1e-04,0.111111111111111,0.333333333333333,0.222222222222222,1e-04,0.666666666666667,0.333333333333333
"29",1e-04,0.111111111111111,0.333333333333333,0.222222222222222,1e-04,0.666666666666667,0.333333333333333
"30",1e-04,0.111111111111111,0.333333333333333,0.222222222222222,1e-04,0.666666666666667,0.333333333333333
"31",1e-04,0.111111111111111,0.333333333333333,0.111111111111111,1e-04,0.555555555555556,0.444444444444444
"32",1e-04,0.111111111111111,0.333333333333333,0.111111111111111,1e-04,0.555555555555556,0.444444444444444
"33",1e-04,0.111111111111111,0.333333333333333,0.111111111111111,1e-04,0.555555555555556,0.444444444444444
"34",1e-04,0.111111111111111,0.333333333333333,1e-04,1e-04,0.444444444444444,0.555555555555556
"35",1e-04,0.111111111111111,0.333333333333333,1e-04,1e-04,0.444444444444444,0.555555555555556
"36",1e-04,0.111111111111111,0.333333333333333,1e-04,1e-04,0.444444444444444,0.555555555555556
"37",1e-04,0.222222222222222,1e-04,0.222222222222222,1e-04,0.444444444444444,0.555555555555556
"38",1e-04,0.222222222222222,1e-04,0.222222222222222,1e-04,0.444444444444444,0.555555555555556
"39",1e-04,0.222222222222222,1e-04,0.222222222222222,1e-04,0.444444444444444,0.555555555555556
"40",1e-04,0.222222222222222,1e-04,0.111111111111111,1e-04,0.333333333333333,0.666666666666667
"41",1e-04,0.222222222222222,1e-04,0.111111111111111,1e-04,0.333333333333333,0.666666666666667
"42",1e-04,0.222222222222222,1e-04,0.111111111111111,1e-04,0.333333333333333,0.666666666666667
"43",1e-04,0.222222222222222,1e-04,1e-04,1e-04,0.222222222222222,0.777777777777778
"44",1e-04,0.222222222222222,1e-04,1e-04,1e-04,0.222222222222222,0.777777777777778
"45",1e-04,0.222222222222222,1e-04,1e-04,1e-04,0.222222222222222,0.777777777777778
